"sku","name","description","price","is_in_stock"
"UMBRA","U & Me Bra","Sexy? Check. Functional? Check. Now your twins can both get the extra-credit they deserve. This super sexy, super sculpting sports bra defines and highlights your assets, so you can go from street to studio in a hot second. ","49.0000","1"
"TTLEG","Tippy Toe Legging","Your new BFF — every woman deserves a pair, or two, for that instant joy that will make you want to get on your tippy toes. You’re all leg in this super slimming legging.  Look sleek & sexy in any pose you strike.<br></br>

Named The #1 Opaque Yoga Leggings according to Rank & Style and Refinery29.","96.0000","1"
"RJPCRP","Run Jump &rsquo;n Play Crop","Run Faster. Jump Higher. Play harder. Whatever your game is, this cropped pant instantly transforms you into a stunning vision of curves and strength. So no matter what you’re getting into you’ll look good getting there.","88.0000","1"
"YOGAFLOP","YOGAFLOPS  (By Rider)","To-and-from Yoga class. Get there in style with your YOGAFLOPS™. <br/><br/>

YOGAFLOPS™ by YOGASMOGA offer attention grabbing, two-toned, flexible foot-beds that are topped off with innovative dual hinged upper straps that adjust allowing the sandal to move with you while you are in motion.<br/><br/>

These are both stylish and offer amazing comfort for your beautiful tippy-toes.
","22.0000","1"
"YTNK","Yantra Tank","Ladies, finally, a tank that stays in check — paying attention to your hips instead of flirting with your navel. That’s right, a top that does what it’s told and stays put at your hips, even when you’re striking your finest headstand.  You would think there’s a magnetic force controlling it – but, really, its just great design. <br/><br/>

Made from YOGASMOGAs exclusive Aurum high performance technical fabric. The Yantra Tank is a classic tank with no built-in bra. <br/><br/>","55.0000","1"
"YSMAT","The YS Mat (By Kulae)","This is the ultimate eco yoga mat!  <br/><br/>

Outstanding support and comfort all in a 100% biodegradable yoga mat. At 72 inches long, 5mm thick and weighing less than 2.5 pounds, the YS Mat (By Kulae) is four inches longer than a standard yoga mat and has been designed with all styles of yoga in mind. This mat is revolutionary, and is the eco standard of yoga mats with a different color on each side giving the user the ability to use either side.<br/><br/>

Made of Thermo Plastic Elastomer (“TPE”) | 100% Biodegradable | 100% Recyclable | Ultra-Hygienic | PVC- and Latex-Free.
","54.0000","0"
"YSTOWEL","The YS Yoga Towel (By Kulae) ","The ultimate towel for grip, hygiene and comfort. <br/><br/>

The YS Towel (By Kulae) is antibacterial, antimicrobial, 100% recyclable and super-absorbent. This extra long and extra wide yoga towel is a great addition to your practice. This full-length yoga mat towel is 74 inches long and 25 inches wide making it a superior yoga towel for all styles of yoga and is a great accessory for the YS Mat. <br/><br/>

For best results wash before first use. <br/><br/>

Antibacterial | 100% Recyclable | Silicone-Free and Latex-Free | Ultra-Absorbent | Machine Washable.
","36.0000","1"
"BRACELET","NAMASKÁR BRACELET","YOGASMOGA has coordinated the manufacture and sale of hand woven bracelets that are being made on handlooms in remote villages of the Himalayas. Net Proceeds of all sales will be donated to the NAMASKÁR Foundation. <br/><br/>

We have created the NAMASKÁR Foundation because we care. ","10.0000","1"
"SNPBRA","Sneak &rsquo;n Peek Bra","Elevate your game - let your girls experience the snugness of this low impact bra while keeping you in your stride. This supportive sports bra will calm your mind - at work, play or simply being. ","52.0000","1"
"SLMSH","Sweet &rsquo;n Short","This humble short packs a whole lot of punch in a small little package. Made exclusively from our high performance technical Aurum fabric, this all-sport short will ensure you are the coolest hot yogi or the hottest roundhouse kicker in town.","54.0000","1"
"TWTNK","Twistie Tank","Shake it up, Head it down, Twist it around or Pigeon it forward- whatever your move this tank is designed to behave and stay put on your hips. The built-in bra offers the reinforcement you need and the waist hugging design leaves you feeling like striking that pose – Every time.","64.0000","1"
"TMT","Tickle Me Tank","So light and airy you could wear it all day long. Soft breathable technical Auro mesh fabric flutters across your skin and a strong sturdy bra made from Aurum performance fabric holds you in. Feel ultra cool at Yoga/Barre class or when taking that walk in the park.","72.0000","1"
"FTCP","Free To Play Crop","Play even harder in the fitting contours of this yoga crop. Hitting right below the knee, the thoughtfully engineered Calf Cleft lets you have the freedom of movement and the striking form you desire to go that little extra mile. ","84.0000","1"
"BALLEG","Ballerina Legging (Reversible)","Double the giggles, Double the fun. Fitting like a second skin you are sure to have some serious fun in these flattering REVERSIBLE Ballerina yoga legging. Made from our compressive Aurum fabric, the Ballerina legging will make you feel ravishing every time you step out in them.","98.0000","1"
"PCBND","Peace Band","This simple headband packs in a lot of punch. Soft silicone dots line the inside of the headband and an added specialized stitch ensures no flyaways, no slipping  and no annoying hair pulling. Made from our moisture wicking Aurum fabric, the Peace Band is a narrow 1 ¾ inch headband.

","14.0000","1"
"MSRB","My Stripey Racer Back","Performance meets Style. Light weight and breathable performance fabric with beautiful heathered stripes blended in – you will not look back after you try on your Stripey Racer Back.","48.0000","1"
"MRB","My Racer Back","Fabric, Fit, Function. This racer back yoga tank is THE quintessential tank.  You will want to make it your own. <br/><br/>Made from our proprietary light-weight and breathable Aurum 24 performance fabric, you are sure to be cool while on the go.","46.0000","1"
"MBND","Miracle Band","Keep your tresses at bay with the Miracle Band.  Soft, breathable and comfortable, the Miracle Band is made from our high performance wicking fabric – Aurum.<br/><br/>The Miracle Band is 2 ¾ inches wide.","18.0000","0"
"EMBND","Embrace Band","A headband with a twist. This headband is specially engineered so it stays on. An added specialized stitch ensures no slipping and no annoying hair pulling.<br/><br/>Made from our moisture wicking Aurum fabric, the Embrace Band is a 1.5 inch wide headband.
","18.0000","0"
"DRJKT","Dharma Jacket","The lightweight versatile Dharma Jacket is your perfect companion – post workout or just being. Well thought out design detailing – double zipper, zipper garage, pockets for your music, and pockets for your keys - makes this the perfect multi-use jacket.<br/><br/>

The Dharma Jacket is made from YOGASMOGA's proprietary technical Aurum™ fabric.
","168.0000","1"
"SHRPT","Sherpa Tee","The Long Sleeve Yoga Tee with the perfect fit. The Sherpa Tee is designed to withstand the rigors you put it through.<br/><br/>

The Sherpa Tee in Carbon 6 features YOGASMOGA’s newly introduced fabric - Koura. Koura is a highly advanced revolutionary performance fabric made from biodegradable cellulose fibers. Koura features very advanced moisture management while maintaining a very soft hand feel.<br/><br/>

The heathered colored Sherpa Tees are made from Aurum™ 1064 – an extremely soft feel technical high moisture wicking fabric.
","92.0000","1"
"NRVS","Nirvana Short","The Nirvana Short. Create a positive impact beyond the gym class. A pair of shorts that never felt as heavenly as these. <br/><br/>

This Short, built for your toughest of workouts, is made from the lightweight highly breathable technical blend Aurum™ 24 fabric. A fitted boxer brief lining made from advanced moisture wicking Smoga Max fabric helps keep things in check while keeping you cool.
","88.0000","1"
"SNDYT","Sunday Tee","Spend your Sundays with this aptly named yoga tee. <br/><br/>

Featuring our innovative fabric - Koura, it is a highly advanced revolutionary performance fabric, made from bio-degradable cellulose fibers, with very advanced sweat wicking power,  while maintaining a very soft feel. <br></br>

Build a deeper connection with your tee in the flattering style of our Sunday Tee.
","76.0000","1"
"FETNK","Free & Easy Tank","The Free & Easy Tank for yoga features a breezy design that stylishly hides what you want covered up and shows off everything else. Our flowy, soft Aurum 1064 drapes gently through the bodice and cinches at the hips to keep your figure in focus. 
<br/><br/>
A thin racer back and lower armholes give a peek of what’s underneath (a bright strappy sports bra, perhaps?)…without giving too much away. Don’t worry about the fit of this tank. Expect effortless, Free & Easy style.
","56.0000","1"
"MMCRP","Momentum Crop","We’re taking style, fit and functionality to new heights. Our Momentum Crop features stylish color blocking and an innovative design that highlights your best assets.<br/><br/>Made from a combination of our two exclusive high performance moisture wicking fabrics – Airh and Aurum+, these yoga crops offer an exceptional fit in a cooling fabric, with a splash of color that keeps you looking hot.
","96.0000","1"
"IMTNK","Imagine Tank","We designed this yoga tank especially for our sporty SMOGIs. From your sunrise vinyasa to your evening run along the pier, you can only imagine what you can do in this tank.<br/><br/>
The built in bra offers the support you need, while centered Auro Mesh keeps you cool all throughout the day. A special active seam down the wide racer back gives you an extra flexibility in movement.
","66.0000","1"
"MMLG","Momentum Legging","Don’t be surprised if this yoga legging climbs to the top of your favorites list. <br></br>

Our Momentum Legging features a stylish color block design that brings an edge to your look and does a great job highlighting your best assets. <br/><br/>

Made from a combination of our two exclusive high performance wicking fabrics – Airh and Aurum+, these leggings offer an exceptional fit in a cooling fabric, with a splash of color that keeps you looking hot.
","102.0000","1"
"OLLBRA","Ooh La La Bra","Discover our high impact bra that is functional and fashion forward. The Ooh-La-La Bra features a stylish strappy back that offers support for higher impact activities. Contour paneling and flat seam stitching add dimension and provide extra coverage and shaping.<br/><br/>
Made of a combination of two high performance fabrics Airh and Aurum, this extremely breathable, multi-purpose bra can be worn comfortably on a run around the city or a night on the town.
","58.0000","1"
"SLMI","Classic Slimmie Pant (Reversible)","Our very 1st Made In USA classic. This REVERSIBLE Classic Slimmie pant is serious double trouble. Super-slimming, you’ll want to put it on just to admire yourself! The clean, slimming contours are flattering and sexy.  Feel fierce at your yoga class, the gym, or at brunch. <br/><br/>

Our Classic Slimmie Pant Tall is ideal for women over 5' 9'' in height. Just select the ""T"" version in your size. ","109.0000","1"
"DRMP","Dharma Pant","The quintessential pant for the everyday man, designed so thoughtfully, you will consider it your duty to enjoy this classic pant. Slim fitted pant legs and multiple pockets that are just deep enough, make this the perfect pant for the man on the go.<br/><br/>","128.0000","1"
"BRJKT","The Brooklyn Jacket","The workout jacket with a Brooklyn flair. This lightweight jacket offers features contrast pop color cuffs & collar. Built for your yoga sessions and workouts, you can wear this jacket for your everyday active life. The two-way zipper helps you style your Brooklyn Jacket in multiple ways. 

<br></br>Featuring our Aurum + Fabric, this jacket gives you the perfect balance between performance and style.","158.0000","0"
"BALCRP","Ballerina Crop (Reversible)","We’re shaking up an old favorite! Similar to the REVERSIBLE Ballerina Legging, the Ballerina Crop features a super slimming two-tone waistband that you can reverse to solid. 
 
<br></br>We’ve added a yoga crop and new color combinations for twice the fun, all in one. Now that’s something to dance about. 

","90.0000","1"
"TULCAP","Tulip Capri","Add a kick of flair to your crops. The Tulip Crop, made of our super breathable AIRH fabric, features a flattering ""tulip hem"" below the knee for added comfort and flexibility. <br></br>The angled waistband hugs your curves and stays in place no matter where you go. 
","94.0000","1"
"RDRP","Rhapsody Drape","The perfect piece for our SMOGIs on the go. Look polished and poised the moment you leave the studio in this hooded long sleeve drape. Composed of a soft and luxurious blend of silk, wool and cashmere, the Rhapsody Drape can be worn open or secured around the neck in a sophisticated draping tunic.<br/><br/>

Easy, effortless and exceptionally beautiful, this versatile <br/><br/>","255.0000","1"
"CMWR","Cuddle Me Wrap","Meet the Cuddle Me Wrap, a soft sweater designed to do just that. Wrap up in a shrug of Sona, our delicate knit blend of silk, wool and cashmere. This long sleeved, cropped sweater features gently draping front panels that can be worn open and cascading, wrapped around the body, or secured at the neckline. <br/><br/>

Toss this top over any sleeveless piece and embrace the warmth, softness and luxury of the Cuddle Me Wrap.<br/><br/>","210.0000","1"
"VERV","Verve Pullover","We can’t decide whether we are more excited to wear this to and from yoga class, or pair it with our favorite denim. The sporty and sophisticated Verve Pullover is an updated version of your favorite crew neck sweater.<br/><br/>
 
Two-tone color blocked panels create a slimming shape while our Step-It-Up hem covers up just enough without taking away from your stylish bottoms.<br/><br/>","230.0000","1"
"VLEG","Vivacity Legging","The Vivacity Legging brings spunk to your legwear. This sleek and sexy yoga legging features contrast stitching to highlight your best assets with just a hint of gold. The carefully placed Zari Mesh paneling shows a hint of skin, keeping you extra cool in a vigorous workout and extra stylish while out on the town.<br/><br/>

Made of our signature Aurum+ fabric, these leggings offer an exceptionally flattering and comfortable fit.<br/><br/>","185.0000","1"
"VCRP","Vivacity Crop","Add a kick of spice to your yoga crops with the mystique of mesh. The beautifully constructed Vivacity Crop features contour panels with gold contrast stitching to elongate and tone the leg. Signature gold Zari Mesh paneling adds a hint of sparkle and nods to our gold standard products, giving just a peek of what’s underneath.<br/><br/>

Keep cool during the most intense workouts and look sharp while out and about. Made of our signature Aurum+ Fabric, these crops offer an exceptionally flattering and comfortable fit.<br/><br/>","165.0000","1"
"VIVT","Vivacity Long Sleeve Tee","The Vivacity Long Sleeve Tee. A not-so-basic long sleeve yoga tee for our stylish SMOGIs. Soft and lightweight Aurum 24 Fabric makes up the body of this top, while Zari Mesh paneling through the sides and upper back gives added movement and breathability.<br/><br/>

A scooped hem and soft crew neck adds to the long sleeve’s super flattering fit, while thumbholes keep your hands warm on brisk morning runs or running errands.<br/><br/>","130.0000","1"
"UPMINT","Up-To-The-Minute Tee","The Up-To-The-Minute Long Sleeve Tee is designed to keep up with you and your ever-changing schedule.  We made this top for those days when there’s no time to change between making your Saturday morning barre class and grabbing a bite with your best friend. This basic yoga tee combines the best in fabric nanotechnology with classic, unadulterated style. Comprised of moisture-wicking and antimicrobial fabrics, the Up to the Minute Tee keeps you feeling fresh so you can focus on the moments that matter.
","85.0000","1"
"UMPT","UP-TO-THE-MINUTE PINNACLE TEE","The Up-To-The-Minute Long Sleeve Pinnacle Tee is designed to keep up with you and your ever-changing schedule.  We made this top for those days when there’s no time to change between making your Saturday morning barre class and grabbing a bite with your best friend. This basic yoga tee combines the best in fabric nanotechnology with classic, unadulterated style. Comprised of moisture-wicking and antimicrobial fabrics, the Up to the Minute Tee keeps you feeling fresh so you can focus on the moments that matter.
","85.0000","1"
"TTTL","Tippy Toe &rsquo;n Twist Legging","Your new BFF — every woman deserves a pair, or two, for that instant joy that will make you want to get on your tippy toes. You’re all leg in these super slimming yoga leggings.  Look sleek & sexy in any pose you strike.","120.0000","1"
"RJTCRP","Run Jump &rsquo;n Twist Crop","Run Faster. Jump Higher. Play harder. Whatever your game is, this yoga crop instantly transforms you into a stunning vision of curves and strength. So no matter what you’re getting into you’ll look good getting there.","108.0000","1"
"GOAA","Goa Apex Short Sleeve Tee","Named after the breezy beach town on India’s western coast, the Goa Apex Short Sleeve Tee for yoga adds laid back style to your gym-to-life wardrobe. Clean lines and a classic crew neck, this tee will replace your favorite t-shirt. Soft as cotton with powerful antimicrobial nanotech, the Goa is versatile enough for early morning meetings or candlelight vinyasas. <br></br>

We designed this shirt with your active schedule in mind; so you stay fresh, no matter where life takes you.
","70.0000","1"
"ZLSCRP","Zélos Crop","We created this crop to reflect our intense zeal for advanced design. The Zélos Crop is fashion forward and flattering with color-blocked contour paneling in solid Aurum + and Aurum Mini Stripe. Your legs will look long and toned with an added kick of geometric style.

<br></br>A wide waistband keeps the Zélos Crop in place throughout any activity, while the sleek side pocket is large enough to hold keys, cards and your phone...no matter how massive. We kept all the essential elements of our #1 best selling crop and added design elements that are sure to keep up with even the most zealous fitness aficianado.","104.0000","1"
"MATNK","Monsoon Apex Tank","We built this tank for summer runs, sunny days and serious workouts. Don’t be fooled by the laidback fit of this tank, this highly technical fabric of the Monsoon Apex Tank will keep you dry no matter how intense the workout. <br></br>
Composed of soft and breathable Aurum Mini Stripe, this lightweight top packed with powerful antimicrobial nanotechnology. From beach volley to bench press the Monsoon Apex Tank keeps you looking and feeling fresh. ","60.0000","1"
"MTNK","Monsoon Tank","We built this tank for summer runs, sunny days and serious workouts. Don’t be fooled by the laidback fit of this tank, this highly technical fabric of the Monsoon Tank will keep you dry no matter how intense the workout. <br></br>
Composed of soft and breathable Koura 24, this lightweight top packed with powerful antimicrobial nanotechnology. From beach volley to bench press the Monsoon Tank keeps you looking and feeling fresh. ","60.0000","1"
"BJT","Bonjour Tee","Our signature women’s short sleeve, the Bonjour Tee is ready to greet the day in style.  Breathable and airy Koura 24 fabric is as soft as your favorite cotton t-shirt, but has the antimicrobial and sweat wicking power of performance fabric. A soft-scooped neckline and feminine sleeves give this top a sophisticated and versatile look, while a subtle stitch down the center back elongates the torso. Pairing just as well with pencil skirts or yoga crops, the Bonjour tee is perfect for long flights, long meetings and long runs. Say hello to your newest wardrobe staple. ","65.0000","1"
"BJST","Bonjour Stripey Tee","Our signature women’s short sleeve, the Bonjour Stripey Tee is ready to greet the day in style.  Breathable and airy Aurum Stripe fabric is as soft as your favorite cotton t-shirt, but has the antimicrobial and sweat wicking power of performance fabric. A soft-scooped neckline and feminine sleeves give this top a sophisticated and versatile look, while a subtle stitch down the center back elongates the torso. Pairing just as well with pencil skirts or yoga crops, the Bonjour Stripey Tee is perfect for long flights, long meetings and long runs. Say hello to your newest wardrobe staple. ","65.0000","1"
"VIVSS","Vivacity Short Sleeve Tee","Add effortless style to every occasion with the Vivacity Tee. Composed of lightweight Aurum 24, this tee is as soft as cotton with serious performance power. Artisinally crafted Zari Mesh panels elongate and slim your silhouette, while giving added movement and breathability. A scooped neckline and shirttail hem bring sophistication and style beyond your regular yoga wear. In the boardroom, boarding a flight, or paddle boarding, we’ve designed this tee with the modern woman in mind; this lightweight short sleeve is our to-go, go-anywhere piece.","85.0000","1"
"SWSR","Sweet &rsquo;n Shorter","We took it up a notch with shorter shorts for longer workouts. We kept the same great fit as our Sweet ‘n Short, but took 2 inches off the hem. The Sweet ‘n Shorter stays put with a constructed waistband and contoured seams; our signature high performance Aurum fabric keeps you feeling fresh no matter how intense the workout. From hot yoga to beach runs, the Sweet ‘n Shorter is our go-to all-sport mini-short.","54.0000","1"
"SYRAT","Surya Tee","Designed for the days when you are on the go, the Surya tee features a fashion-forward design, a flattering fit and superior fabric tech that will gracefully go along for the ride. Don’t be fooled by the super soft feel of our fabric: it will work hard to keep you looking and feeling fresh throughout the day. Soft-scooped neckline rounds at the collarbone while cap sleeves cover your shoulders in style. The slim fitting Surya Tee stays put while you practice your headstand, but looks just as great post-class with jeans and flats. The Surya Tee moves with you, so you’re ready for anything and everything under the sun.","65.0000","1"
"SRPT","Surya Pinnacle Tee","Designed for the days when you are on the go, the Surya Pinnacle Tee features a fashion-forward design, a flattering fit and superior fabric tech that will gracefully go along for the ride. Don’t be fooled by the super soft feel of our fabric: it will work hard to keep you looking and feeling fresh throughout the day. Soft-scooped neckline rounds at the collarbone while cap sleeves cover your shoulders in style. The slim fitting Surya Tee stays put while you practice your headstand, but looks just as great post-class with jeans and flats. The Surya Tee moves with you, so you’re ready for anything and everything under the sun.","65.0000","1"
"LGNA","Laguna Bra","Athletic urban style and chic feminine details come together with the Laguna Bra. We took high impact literally with artfully crafted contour cutaways and architectural paneling. Support gets sexy with Zari Mesh overlay at the décolleté and longer bodice to keep the piece in place and give your body the look of a bustier. A sneak peek from behind reveals contoured cutaways that artfully show off the upper back. The Engineered Print adds an extra dimension of style and shape to your frame. 
","95.0000","1"
"ERTK","Erie Tank","Structured style takes effortless form with the Erie Tank. A stylish front-racer design enhances your shoulder profile and drapes into a breezy and effortless bodice. Overlapped flyaway side seams allow for unrestricted movement and easy layering while a stepped hem adds modern detail to this tank. Made of incredibly soft & luxurious Koura 24, this top performs for intense fitness and offers unprecedented street style while out on the town. ","84.0000","1"
"CRML","Carmel Hoodie","A layering piece that offers minimalist style and maximum performance to and from. Constructed with breathable and super soft Koura 24, the Carmel Hoodie feels like a broken-in tee, but keeps you dry, fresh and cool in hard-core workouts. Overlapped side seams allow room for movement. Extended shoulder design, draping hood and banded bottom add standout shape while you’re on the move. 
","155.0000","1"
"CLD9","Cloud 9 Short","Comfortable, versatile, stylish and flattering, put on these shorts and your headed straight to Cloud 9. The Cloud 9 Yoga Short features Aurum+ waistband and liner to wick sweat keeping you fresh, while the lightweight and water resistant short offers the flexibility of 4-way stretch. Overlapping side seams allow for additional movement and a peek of Zari Mesh at the back of the leg adds feminine style to this high performance yoga short.","84.0000","1"
"RYST","Reyes Tee","State of the art performance technology meets breakthrough design in the Reyes Tee. Full Zari Mesh construction allows for optimal breating, while 4-way stretch ensures maximum comfort while on the move. Raw edge seams and a contoured hemline bring heightened style. A relaxed fit makes this sheer piece optimal for layering and adding unexpected dimension to fitness wear. 
","70.0000","1"
"LJLL","La Jolla Crop","With bold designs inspired by the varied topography of the West Coast, the La Jolla Yoga Crop is an all season favorite. 
Engineered Print ensures every pant is patterned with a design that highlights the musculature of the female form. Zari Mesh detailing at the base of the spine brings our signature mindfulness to the details. A crafted waistband supports without constricting and a longer length makes this crop an easy choice any time of year. Made of our exclusive Aurum+ fabric, the La Jolla Crop brings mindful design to your wardrobe without sacrificing performance. <br>

Dégradé: A Range of points decreasing in density create a subtle ombré design, highlighting natural lines and curves by creating a shadow effect.","140.0000","1"
"CLFN","California Short","We made the California Short for the multi-functional, multi-sport SMOGI in mind. Crafted from our new D'or fabric, offering a water resistant woven and 4-way stretch allows for maximum movement. Cloud-like weight. Smogamax jersey liner helps wick sweat away while keeping you secure without the chafe. Reflective bonding at the drawstring and side seams so you get noticed and mesh side panels help generate better air flow. Discrete pockets help you store your personals while on the go.</br>

You'll want these easy to wear yoga shorts that are high-performing for wherever life takes you.

","95.0000","1"
"BSTN","Boston Tee","For those who prefer the v-neck version of our Sonoma Tee, the Boston Tee is the yoga tee for your life. Made of super lightweight and super soft Koura 24, it will work for you in the most casual of settings and through the most intense workouts. The v-neck is positioned higher for a modern touch and slightly forward shoulder seams for a clean look for wherever life takes you.
","70.0000","1"
"SFT","San Fran Tee","If you're on the go, the San Fran Tee will be there every step of the way. Made of super lightweight and super soft Koura 24 fabric, this yoga tee feels like cotton. Post workout, this tee blends perfectly into the rest of your daily activities. Fitted long sleeves maintain your shape, crew neckline and updated shoulder seams for a clean look.

","85.0000","1"
"SNMT","Sonoma Tee","The Sonoma Tee is your new favorite yoga tee. Made of super lightweight and super soft Koura 24, this yoga tee will work from the most strenuous of workouts to the most casual of settings. Crew neckline with an updated fit and gold accents to mirror our gold standards.</br>

For our v-neck SMOGIs, please see our Boston Tee.
","70.0000","1"
"TTMLEG","Tippy Toe &rsquo;n Move Legging","Tippy toe your way into our Tippy Toe 'n Move Legging, printed version of our Tippy Toe Legging, voted most opaque yoga pant by Refinery29. Offering the super soft feel of cotton, ultra pill resistance and features such as our unique up & in pocket, you can move through life and shatter any boundaries in your way.

","148.0000","1"
"SWSHT","Sweet &rsquo;n Short Twist","We took our humble Sweet 'n Short and gave it a twist. Made exclusively from our new Aurum Melange fabric, this all-sport short will ensure you are the coolest hot yogi or the hottest roundhouse kicker in town.","68.0000","1"
"RJMCRP","Run Jump &rsquo;n Move Crop","Look beautiful in the Run Jump 'n Move Crop, printed version of our best Run Jump 'n Play Crop, with the same great features such as the Up & In Pocket for your small personals. Offering the super soft feel of cotton and ultra pill resistance, you can run jump ‘n move wherever life takes you and shatter any boundaries in your way.
","130.0000","1"
"UMTBRA","U & Me Twist Bra","We took the U & Me Bra and added extra love. Featuring our Aurum Helix fabric, a combination of Supplex and Lycra, that hugs your décolleté in effortless luxury. You can distinguish AURUM HELIX with the subtle variation between each fabric. The U & Me Twist Bra works as hard as you want it to. So, while you do the hard work, it will work with you every step of the way.


","60.0000","1"
